Unix time (s) ; acc_z (m.s^-2) ; speed_z (m.s^-1) ; pos_z (m)
1535462313.37 ; -0.18946094629 ; -0.0317803388051 ; 0.0225730374257
1535462313.93 ; 0.436329298739 ; 0.0125496377617 ; 0.0143038294379
1535462314.49 ; -0.419731416512 ; 0.00573921458045 ; 0.01620617137
1535462315.06 ; 0.115810031702 ; -0.0265786404661 ; 0.00862105970241
1535462315.62 ; 0.198749806454 ; 0.0206296505375 ; 0.00578995913585
1535462316.18 ; -0.284169364993 ; -0.0011312075841 ; 0.00939472756211
1535462316.74 ; -0.243940865422 ; -0.0498860812275 ; -0.00412791813906
1535462317.31 ; 0.218426417879 ; -0.019020588036 ; -0.0195893573891
1535462317.87 ; 0.722446314783 ; 0.0818642672989 ; -0.00159587047009
1535462318.43 ; -0.756251852494 ; 0.0241189381506 ; 0.0235089952121
1535462318.99 ; 0.726842136031 ; 0.00528255875591 ; 0.026481621172
1535462319.56 ; -0.903982840172 ; -0.0148454968237 ; 0.019826783833
1535462320.12 ; 0.983225230374 ; 0.00248018544973 ; 0.0136243130189
1535462320.68 ; -0.85213067551 ; 0.0131165825403 ; 0.0150090092101
1535462321.24 ; 0.849545039951 ; 0.00412980081263 ; 0.0165494625858
1535462321.81 ; -0.324856618856 ; 0.0505648262461 ; 0.0266099297327
1535462322.37 ; 0.332432832378 ; 0.0175651919292 ; 0.0381424609905
1535462322.93 ; -0.644940041304 ; -0.02344129474 ; 0.0304082286013
1535462323.51 ; 0.766519542484 ; 0.00390068021871 ; 0.0206332404307
1535462324.07 ; 0.08414995096 ; 0.0810473819136 ; 0.0371032927153
1535462324.63 ; -0.63150194093 ; -0.0242968238524 ; 0.0442198998171
1535462325.2 ; 0.661081213724 ; -0.00532596908667 ; 0.0299072862978
1535462325.76 ; -0.559535361692 ; 0.00774431410922 ; 0.0254895211391
1535462326.32 ; 0.404612987044 ; -0.0119420421019 ; 0.0202574584782
1535462326.88 ; -0.163511429769 ; 0.0186217855306 ; 0.0184467245245
1535462327.45 ; -0.117465311918 ; -0.0201335596338 ; 0.0150179584438
1535462328.01 ; 0.456347041426 ; 0.0250579656505 ; 0.0136690863403
1535462328.57 ; -0.839899361607 ; -0.0276045365452 ; 0.010794066644
1535462329.13 ; 0.827365543585 ; -0.0103765098086 ; 9.36100130003e-05
1535462329.7 ; -0.50975011439 ; 0.0263166002119 ; 0.003813840352
1535462330.26 ; 0.437437409983 ; 0.00199306505978 ; 0.0098131009157
1535462330.82 ; -0.594644241663 ; -0.0140733419245 ; 0.00534635441105
1535462331.38 ; 0.327670788526 ; -0.0297189416521 ; -0.00580813828796
1535462331.95 ; 0.0341005056454 ; 0.0240115562575 ; -0.00617785513104
1535462332.51 ; -0.334165580278 ; -0.0201239458474 ; -0.00423716089658
1535462333.07 ; 0.0174628228547 ; -0.0363979719484 ; -0.0167778932359
1535462333.63 ; 0.00839324790265 ; -0.00970873287685 ; -0.0247874702168
1535462334.2 ; 0.636933328069 ; 0.057261173339 ; -0.00951148096456
1535462334.76 ; -0.300542811088 ; 0.0506228266283 ; 0.0173584031645
1535462335.32 ; 0.236402661021 ; 0.0108613480161 ; 0.0288751824467
