508195183,-13113200,3566,152903029
508195150,-13113250,3165,152904029
508195100,-13113350,3183,152905029
508194950,-13113350,3438,152906029
508194816,-13113400,3548,152907029
508194716,-13113516,3554,152908029
508194366,-13114433,2345,152915029
508194700,-13114383,2175,152919029
508195716,-13114133,3556,152929029
508195800,-13114133,3439,152930029
508195833,-13114166,3387,152931029
508195883,-13114150,3409,152932029
508195900,-13114150,3372,152933029
508195900,-13114166,3286,152934029
508195900,-13114200,3341,152935029
508195883,-13114250,3315,152936029
508195883,-13114316,3457,152937029
508195849,-13114416,3580,152938029
508195816,-13114533,3446,152940029
508195816,-13114650,3249,152941029
508195800,-13114933,3372,152942029
508195800,-13115066,3221,152943029
508195800,-13115200,3152,152944029
508195783,-13115333,3158,152945029
508195783,-13115483,3129,152946029
508195800,-13115616,3228,152947029
508195800,-13115716,3380,152948029
508195816,-13115816,3401,152949029
508195816,-13115933,3169,152950029
508195816,-13116033,3153,152951029
508195833,-13116133,3154,152952029
508195800,-13116216,3237,152953029
508195716,-13116300,3491,152954029
508195650,-13116433,3479,152955029
508195550,-13116533,3389,152956029
508195416,-13116516,3547,152957029
508195283,-13116483,3576,152958029
508195133,-13116166,3490,153000029
508195050,-13116000,3423,153001029
508195016,-13115800,3761,153002029
508194983,-13115600,3306,153003029
508194950,-13115333,3314,153004029
508194816,-13115200,3303,153006029
508194683,-13115283,3538,153007029
508194666,-13115400,3604,153008029
508194650,-13115483,3587,153009029
508194666,-13115550,3534,153010029
508194700,-13115633,3538,153011029
508194766,-13115616,3405,153012029
508194833,-13115566,3314,153013029
508194950,-13115500,3293,153014029
508195050,-13115400,3280,153015029
508195166,-13115300,3310,153016029
508195266,-13115166,3232,153017029
508195350,-13115116,3352,153018029
508195416,-13115083,3407,153019029
508195483,-13115066,3601,153020029
508195533,-13115033,3587,153021029
508195616,-13114916,3533,153022029
508195716,-13114883,3479,153024029
508195783,-13114916,3326,153025029
508195833,-13114966,3294,153026029
508195800,-13115000,3301,153027029
508195783,-13115066,3242,153028029
508195750,-13115183,3254,153029029
508195766,-13115316,3251,153030029
508195766,-13115450,3217,153031029
508195750,-13115600,3285,153032029
508195733,-13115733,3270,153033029
508195750,-13115866,3260,153034029
508195766,-13115983,3277,153035029
508195766,-13116100,3238,153036029
508195766,-13116200,3355,153037029
508195766,-13116283,3330,153039029
508195783,-13116383,3410,153040029
508195800,-13116416,3267,153041029
508195783,-13116466,3296,153042029
508195750,-13116533,3305,153043029
508195716,-13116633,3344,153044029
508195700,-13116750,3284,153045029
508195700,-13116850,3451,153046029
508195683,-13117000,3849,153047029
508195683,-13117116,3435,153048029
508195666,-13117233,3499,153049029
508195683,-13117350,3354,153050029
508195683,-13117450,3271,153051029
508195700,-13117533,3262,153052029
508195700,-13117616,3319,153053029
508195700,-13117683,3295,153054029
508195700,-13117733,3359,153056029
508195733,-13117766,3393,153057029
508195733,-13117783,3326,153058029
508195733,-13117783,3304,153059029
508195716,-13117766,3310,153100029
508195716,-13117750,3325,153101029
508195716,-13117700,3300,153102029
508195733,-13117650,3601,153103029
508195700,-13117616,3495,153104029
508195683,-13117600,3352,153105029
508195666,-13117566,3277,153106029
508195633,-13117566,3265,153107029
508195633,-13117600,3193,153108029
508195616,-13117616,3270,153109029
508195583,-13117666,3232,153110029
508195583,-13117700,3228,153111029
508195583,-13117733,3191,153112029
508195583,-13117783,3144,153113029
508195583,-13117833,3181,153114029
508195533,-13117916,3252,153116029
508195533,-13118316,3255,153119029
508195550,-13118450,3426,153120029
508195566,-13118650,3399,153121029
508195583,-13118716,3389,153122029
508195733,-13118749,3264,153126029
508195750,-13118766,3236,153127029
508195750,-13118766,3247,153128029
508195766,-13118749,3195,153129029
508195783,-13118749,3225,153130029
508195783,-13118600,3432,153134029
508195750,-13118616,3413,153135029
508195716,-13118666,3377,153136029
508195700,-13118749,3313,153137029
508195716,-13118783,3271,153138029
508195716,-13118800,3298,153140029
508195716,-13118733,3273,153141029
508195700,-13118700,3307,153142029
508195716,-13118666,3258,153143029
508195700,-13118616,3292,153144029
508195700,-13118533,3273,153145029
508195700,-13118450,3309,153146029
508195700,-13118383,3208,153147029
508195700,-13118300,3190,153148029
508195700,-13118250,3180,153149029
508195666,-13118266,3379,153150029
508195616,-13118316,3403,153151029
508195616,-13118383,3531,153152029
508195616,-13118416,3394,153153029
508195633,-13118399,3205,153154029
508195633,-13118366,3205,153155029
508195616,-13118366,3235,153156029
508195583,-13118399,3246,153157029
508195550,-13118466,3388,153158029
508195566,-13118516,3287,153159029
508195566,-13118550,3280,153200029
508195583,-13118550,3242,153201029
508195600,-13118516,3312,153202029
508195583,-13118466,3328,153203029
508195583,-13118450,3331,153204029
508195583,-13118399,3388,153205029
508195566,-13118333,3261,153206029
508195566,-13118250,3328,153207029
508195566,-13118183,3193,153208029
508195566,-13118116,3161,153210029
508195583,-13118033,3184,153211029
508195566,-13117966,3189,153212029
508195566,-13117950,3243,153213029
508195500,-13118050,3257,153214029
508195500,-13118100,3258,153215029
508195516,-13118133,3234,153216029
