point,latitude,longitude
A,50.822197912169486,-1.3131453808363254
B,50.822136584453986,-1.3128785101937752
C,50.82086875660889,-1.3136046333659215
D,50.820930082615554,-1.313871497810471
E,50.821775302891915,-1.313387424278211
F,50.821713975746036,-1.3131205557016963
G,50.82129136646434,-1.3133625967590272
H,50.821352693040595,-1.3136294632695422
marker154,50.82245,-1.31285
marker155,50.820616666666666,-1.3139
