%time,Real Time UTC,field.latitude,field.longitude
1.53531172211448E+018,29/08/2018 11:28:42,50.8206367493,-1.3099066019
1.53531172218863E+018,29/08/2018 11:28:42,50.8206367493,-1.3099066019
1.53531172225846E+018,29/08/2018 11:28:42,50.8206367493,-1.3099066019
1.53531172233552E+018,29/08/2018 11:28:42,50.8206367493,-1.3099066019
1.53531172240577E+018,29/08/2018 11:28:42,50.8206367493,-1.3099066019
1.53531172248264E+018,29/08/2018 11:28:42,50.8206367493,-1.3099066019
1.53531172255341E+018,29/08/2018 11:28:43,50.8206367493,-1.3099066019
1.53531172263101E+018,29/08/2018 11:28:43,50.8206367493,-1.3099066019
1.5353117227011E+018,29/08/2018 11:28:43,50.8206367493,-1.3099066019
1.53531172278027E+018,29/08/2018 11:28:43,50.8206367493,-1.3099066019
1.53531172284874E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172292714E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172299618E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172307478E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172314343E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172321749E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172329063E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172336474E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.5353117234342E+018,29/08/2018 11:28:43,50.8206367493,-1.3099050522
1.53531172351238E+018,29/08/2018 11:28:44,50.8206367493,-1.3099050522
1.53531172358218E+018,29/08/2018 11:28:44,50.8206367493,-1.3099050522
1.53531172365964E+018,29/08/2018 11:28:44,50.8206367493,-1.3099050522
1.53531172373033E+018,29/08/2018 11:28:44,50.8206367493,-1.3099050522
1.53531172380936E+018,29/08/2018 11:28:44,50.8206367493,-1.3099050522
1.53531172387742E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.53531172395504E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.53531172402389E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.53531172410653E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.53531172417193E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.5353117242499E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.53531172431965E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.5353117243935E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
1.53531172446615E+018,29/08/2018 11:28:44,50.8206291199,-1.3099066019
