%time,Real Time UTC,field.latitude,field.longitude
1.53531168446124E+018,29/08/2018 14:43:04,0,0
1.53531168453016E+018,29/08/2018 14:43:05,0,0
1.53531168460924E+018,29/08/2018 14:43:05,0,0
1.53531168467738E+018,29/08/2018 14:43:05,0,0
1.53531168475073E+018,29/08/2018 14:43:05,0,0
1.53531168482094E+018,29/08/2018 14:43:05,0,0
1.53531168490003E+018,29/08/2018 14:43:05,0,0
1.53531168497023E+018,29/08/2018 14:43:05,0,0
1.53531168504202E+018,29/08/2018 14:43:05,0,0
1.53531168511616E+018,29/08/2018 14:43:05,0,0
1.53531168518986E+018,29/08/2018 14:43:05,0,0
1.53531168525827E+018,29/08/2018 14:43:05,0,0
1.53531168533661E+018,29/08/2018 14:43:05,0,0
1.53531168540643E+018,29/08/2018 14:43:05,0,0
1.53531168548107E+018,29/08/2018 14:43:05,0,0
1.53531168554923E+018,29/08/2018 14:43:06,0,0
1.53531168562712E+018,29/08/2018 14:43:06,0,0
1.53531168569864E+018,29/08/2018 14:43:06,0,0
1.53531168577129E+018,29/08/2018 14:43:06,0,0
1.53531168584189E+018,29/08/2018 14:43:06,0,0
1.53531168591812E+018,29/08/2018 14:43:06,0,0
1.53531168598785E+018,29/08/2018 14:43:06,0,0
1.53531168606737E+018,29/08/2018 14:43:06,0,0
1.5353116861354E+018,29/08/2018 14:43:06,0,0
1.53531168621309E+018,29/08/2018 14:43:06,0,0
1.53531168628283E+018,29/08/2018 14:43:06,0,0
1.53531168635732E+018,29/08/2018 14:43:06,0,0
1.53531168642667E+018,29/08/2018 14:43:06,0,0
1.53531168650709E+018,29/08/2018 14:43:07,0,0
1.53531168656955E+018,29/08/2018 14:43:07,0,0
1.53531168664758E+018,29/08/2018 14:43:07,0,0
1.53531168671655E+018,29/08/2018 14:43:07,0,0
1.53531168679458E+018,29/08/2018 14:43:07,0,0
1.53531168686486E+018,29/08/2018 14:43:07,0,0
1.5353116869384E+018,29/08/2018 14:43:07,0,0
1.53531168700846E+018,29/08/2018 14:43:07,0,0
1.53531168708702E+018,29/08/2018 14:43:07,0,0
1.53531168715498E+018,29/08/2018 14:43:07,0,0
1.53531168722908E+018,29/08/2018 14:43:07,0,0
1.53531168729845E+018,29/08/2018 14:43:07,0,0
1.53531168737639E+018,29/08/2018 14:43:07,0,0
1.53531168744593E+018,29/08/2018 14:43:07,0,0
1.53531168752034E+018,29/08/2018 14:43:08,0,0
1.53531168758948E+018,29/08/2018 14:43:08,0,0
1.53531168766792E+018,29/08/2018 14:43:08,0,0
1.53531168773715E+018,29/08/2018 14:43:08,0,0
1.53531168781165E+018,29/08/2018 14:43:08,0,0
1.5353116878799E+018,29/08/2018 14:43:08,0,0
1.5353116879576E+018,29/08/2018 14:43:08,0,0
1.53531168802928E+018,29/08/2018 14:43:08,0,0
1.53531168810661E+018,29/08/2018 14:43:08,0,0
1.53531168817649E+018,29/08/2018 14:43:08,0,0
1.53531168825292E+018,29/08/2018 14:43:08,0,0
1.53531168832258E+018,29/08/2018 14:43:08,0,0
1.53531168839675E+018,29/08/2018 14:43:08,0,0
1.53531168846556E+018,29/08/2018 14:43:08,0,0
1.53531168854499E+018,29/08/2018 14:43:09,0,0
1.53531168861355E+018,29/08/2018 14:43:09,0,0
1.53531168868779E+018,29/08/2018 14:43:09,0,0
1.53531168875763E+018,29/08/2018 14:43:09,0,0
1.53531168883436E+018,29/08/2018 14:43:09,0,0
1.53531168890656E+018,29/08/2018 14:43:09,0,0
1.53531168897841E+018,29/08/2018 14:43:09,0,0
1.53531168904743E+018,29/08/2018 14:43:09,0,0
1.53531168912608E+018,29/08/2018 14:43:09,0,0
